id,correct,question,refs,a,b,c,d,figure,correct_letter
T7B09,3,What should be the first step to resolve non-fiber optic cable TV interference caused by your amateur radio transmission?,,Add a low-pass filter to the TV antenna input,Add a high-pass filter to the TV antenna input,Add a preamplifier to the TV antenna input,Be sure all TV feed line coaxial connectors are installed properly,,D
T7B10,3,What might be a problem if you receive a report that your audio signal through an FM repeater is distorted or unintelligible?,,Your transmitter is slightly off frequency,You are speaking too loudly or too close to the microphone,You are in a bad location,All these choices are correct,,D
T7B11,2,Which of the following can eliminate distorted voice transmissions?,,Adding extra feedline to the antenna to lower SWR,Turning the radio on and off to reset the computer-controlled circuitry,Adding a clip-on ferrite “choke” to the microphone cable to prevent the transmitted signal from feeding back into the transmitter,Turning the squelch control fully clockwise to prevent the transmitted signal from triggering the squelch circuit,,C
T7C01,0,What is the primary purpose of a dummy load?,,To prevent transmitting signals over the air when making tests,To prevent over-modulation of a transmitter,To improve the efficiency of an antenna,To improve the signal-to-noise ratio of a receiver,,A
T7C02,1,Which of the following is used to determine if an antenna is resonant at the desired operating frequency?,,A VTVM,An antenna analyzer,A Q meter,A frequency counter,,B
T7C03,1,What does a typical RF dummy load consist of?,,A low-voltage power supply and an AC relay,A 50-ohm non-inductive resistor mounted on a heat sink,A low-voltage power supply and a DC relay,A 50-ohm inductive reactance mounted in a shielded enclosure,,B
T7C04,2,What reading on an SWR meter indicates a perfect impedance match between the antenna and the feed line?,,50:50,Zero,1:1,Full Scale,,C
T7C05,0,Why do most solid-state transmitters reduce output power as SWR increases beyond a certain level?,,To protect the RF output amplifier transistors,To comply with FCC rules on spectral purity,Because power supplies cannot supply enough current at high SWR,To lower the SWR on the transmission line,,A
T7C06,3,What does an SWR reading of 4:1 indicate?,,Loss of -4 dB,Good impedance match,Gain of +4 dB,Impedance mismatch,,D
T7C07,2,What happens to power lost in a feed line?,,It increases the SWR,It is radiated as harmonics,It is converted into heat,It distorts the signal,,C
T7C08,3,Which instrument can be used to determine SWR?,,Voltmeter,Ohmmeter,Iambic pentameter,Directional wattmeter,,D
T7C09,0,Which of the following causes failure of coaxial cables?,,Moisture contamination,Solder flux contamination,Rapid fluctuation in transmitter output power,Operation at 100% duty cycle for an extended period,,A
T7C10,3,Why should the outer jacket of coaxial cable be resistant to ultraviolet light?,,Ultraviolet light can increase the resistance of the conductors,Ultraviolet light can increase losses in the cable’s jacket,"Ultraviolet and RF signals can mix, causing interference",Ultraviolet light can damage the jacket and allow water to enter the cable,,D
T7C11,2,What is an advantage of foam-dielectric versus solid-dielectric coaxial cable?,,It is more resistant to moisture contamination,It has higher voltage breakdown,It has less loss per foot,It has a better impedance match to 50 ohms,,C
T7D01,1,Which instrument would you use to measure electric potential?,,An ammeter,A voltmeter,A potentiometer,An ohmmeter,,B
T7D02,1,How is a voltmeter connected to a component to measure applied voltage?,,In series,In parallel,In quadrature,In phase,,B
T7D03,0,"When configured to measure current, how is a multimeter connected to a component?",,In series,In parallel,In quadrature,In phase,,A
T7D04,3,Which instrument is used to measure electric current?,,An ohmmeter,An electrometer,A voltmeter,An ammeter,,D
T7D05,0,How does an ohmmeter measure the resistance of a circuit or component?,,By applying a small current and measuring the resulting voltage,By placing a variable resistor in parallel with the circuit,By placing a variable resistor in series with the circuit,By applying a variable voltage and measuring the resulting current change,,A
T7D06,2,Which of the following can damage a multimeter?,,Attempting to measure resistance using the voltage setting,Failing to connect one of the probes to ground,Attempting to measure voltage when using the resistance setting,Not allowing it to warm up properly,,C
T7D07,2,Which of the following measurements are made using a multimeter?,,Signal strength and noise,Impedance and reactance,Voltage and resistance,All these choices are correct,,C
T7D08,0,Which of the following types of solder should not be used for radio and electronic applications?,,Acid-core solder,Lead-tin solder,Rosin-core solder,Tin-copper solder,,A
T7D09,2,What is the characteristic appearance of a cold tin-lead solder joint?,,Dark black spots,A bright or shiny surface,A rough or lumpy surface,A greenish tinge,,C
T7D10,0,"What reading indicates that an ohmmeter is connected across a large, discharged capacitor?",,Increasing resistance with time,Decreasing resistance with time,Steady full-scale reading,Alternating between open and short circuit,,A
T7D11,1,Which of the following precautions should be taken when measuring in-circuit resistance with an ohmmeter?,,Ensure that the applied voltages are correct,Ensure that the circuit is not powered,Ensure that the circuit is grounded,Ensure that the circuit is operating at the correct frequency,,B
T8A01,2,Which of the following is a form of amplitude modulation?,,Spread spectrum,Packet radio,Single sideband,Phase shift keying (PSK),,C
T8A02,0,What type of modulation is commonly used for VHF packet radio transmissions?,,FM or PM,SSB,AM,PSK,,A
T8A03,2,Which type of voice mode is often used for long-distance (weak signal) contacts on the VHF and UHF bands?,,FM,DRM,SSB,PM,,C
T8A04,3,Which type of modulation is commonly used for VHF and UHF voice repeaters?,,AM,SSB,PSK,FM or PM,,D
T8A05,2,Which of the following signal types has the narrowest bandwidth?,,FM voice,SSB voice,CW,Slow-scan TV,,C
T8A06,0,"Which sideband is normally used for 10-meter HF, VHF, and UHF single-sideband communications?",,Upper sideband,Lower sideband,Suppressed sideband,Inverted sideband,,A
T8A07,2,What is one characteristic of single sideband (SSB) compared to FM?,,SSB signals are easier to tune in correctly,SSB signals are less susceptible to interference,SSB signals have narrower bandwidth,SSB signals are less susceptible to high SWR,,C
T8A08,1,What is the approximate bandwidth of a typical single sideband (SSB) voice signal?,,1 kHz,3 kHz,6 kHz,15 kHz,,B
T8A09,2,What is the approximate bandwidth of an FM voice signal on VHF repeaters?,,Less than 500 Hz,About 150 kHz,Between 10 and 15 kHz,Between 50 and 125 kHz,,C
T8A10,1,What is the approximate bandwidth of AM fast-scan TV transmissions?,,More than 10 MHz,About 6 MHz,About 3 MHz,About 1 MHz,,B
T8A11,1,What is the approximate bandwidth required to transmit a CW signal?,,2.4 kHz,150 Hz,1000 Hz,15 kHz,,B
T8A12,1,Which of the following is a disadvantage of FM compared with single sideband?,,Voice quality is poorer,Only one signal can be received at a time,FM signals are harder to tune,FM signals are more susceptible to high SWR,,B
T8B01,2,What telemetry information is typically transmitted by satellite beacons?,,The signal strength of received signals,Time of day accurate to plus or minus 1/10 second,Health and status of the satellite,All these choices are correct,,C
T8B02,1,What is the impact of using excessive effective radiated power on a satellite uplink?,,Possibility of commanding the satellite to an improper mode,Blocking access by other users,Overloading the satellite batteries,Possibility of rebooting the satellite control computer,,B
T8B03,3,Which of the following are provided by satellite tracking programs?,,Maps showing the real-time position of the satellite track over Earth,"The time, azimuth, and elevation of the start, maximum altitude, and end of a pass","The apparent frequency of the satellite transmission, including effects of Doppler shift",All these choices are correct,,D
T8B04,3,What mode of transmission is commonly used by amateur radio satellites?,,SSB,FM,CW/data,All these choices are correct,,D
T8B05,3,What is a satellite beacon?,,The primary transmit antenna on the satellite,An indicator light that shows where to point your antenna,A reflective surface on the satellite,A transmission from a satellite that contains status information,,D
T8B06,1,Which of the following are inputs to a satellite tracking program?,,The satellite transmitted power,The Keplerian elements,The last observed time of zero Doppler shift,All these choices are correct,,B
T8B07,2,What is Doppler shift in reference to satellite communications?,,A change in the satellite orbit,A mode where the satellite receives signals on one band and transmits on another,An observed change in signal frequency caused by relative motion between the satellite and Earth station,A special digital communications mode for some satellites,,C
T8B08,1,What does it mean if a satellite is operating in U/V mode?,,The satellite uplink is in the 15-meter band and the downlink is in the 10-meter band,The satellite uplink is in the 70-centimeter band and the downlink is in the 2-meter band,The satellite operates using ultraviolet frequencies,The satellite frequencies are usually variable,,B
T8B09,1,What causes spin fading of satellite signals?,,Circular polarized noise interference radiated from the sun,Rotation of the satellite and its antennas,Doppler shift of the received signal,Interfering signals within the satellite uplink band,,B
T8B10,3,What does the term LEO mean in reference to communication satellites?,,"Low Energy Orbit, which conserves battery power","Low Elevation Orbit, which appears close to the horizon from the earth station","Low Equilibrium Orbit, which has a slightly unstable period","Low Earth Orbit, which has a period of around 100 minutes",,D
T8B11,0,Who is permitted to receive telemetry from an amateur radio satellite?,,Anyone,Only the satellite control operator,Only the control operator or a licensed radio amateur who has received the encryption key from the control operator,Only a licensed radio amateur who has received the encryption key from AMSAT,,A
T8B12,2,Which of the following is a way to determine whether your satellite uplink power into a linear transponder satellite is neither too low nor too high?,,Check your signal strength report in the telemetry data,Listen for distortion on your downlink signal,Your signal strength on the downlink should be about the same as the beacon,Compare your signal to others on the downlink using an internet SDR receiver,,C
T8C01,2,Which of the following methods is used to locate sources of noise interference or jamming?,,Echolocation,Doppler radar,Radio direction finding,Phase locking,,C
T8C02,1,Which of these items would be useful for a hidden transmitter hunt?,,Calibrated SWR meter,A directional antenna,A directional wattmeter,All these choices are correct,,B
T8C03,3,What operating activity involves contacting as many stations as possible during a specified period?,,Simulated emergency exercises,Net operations,Hidden transmitter hunts,Contesting,,D
T8C04,2,Which of the following is good practice when contacting another station in a contest?,,Signing only the last two letters of your call if there are many other stations calling,Contacting the station twice to be sure that you are in his log,Sending only the minimum information needed for proper identification and the contest exchange,Adding “Please copy” before your exchange,,C
T8C05,0,What is a grid locator?,,A letter-number designator assigned to a geographic location,A letter-number designator assigned to an azimuth and elevation,An instrument for locating faults in power amplifiers,An instrument for radio direction finding,,A
T8C06,1,How is over the air access to Internet Radio Linking Project (IRLP) nodes accomplished?,,By obtaining a password that is sent via voice to the node,By using Dual-Tone Multi-Frequency (DTMF) signals,By entering the proper internet password,By using Continuous Tone-Coded Squelch System (CTCSS) tone codes,,B
T8C07,3,What is Voice Over Internet Protocol (VoIP)?,,A set of rules specifying how to identify your station when linked over the internet to another station,A technique employed to “spot” DX stations via the internet,A technique for measuring the modulation quality of a transmitter using remote sites monitored via the internet,A method of delivering voice communications over the internet using digital techniques,,D
T8C08,0,What is the Internet Radio Linking Project (IRLP)?,,"A technique to connect amateur radio systems, such as repeaters, via the internet",A system for providing access to websites via amateur radio,A system for informing amateurs in real time of the frequency of active DX stations,A technique for measuring signal strength of an amateur transmitter via the internet,,A
T8C09,3,Which of the following protocols enables an amateur station to transmit through a repeater without using a radio to initiate the transmission?,,IRLP,D-STAR,DMR,EchoLink,,D
T8C10,2,What is required before using the EchoLink system?,,Complete the required EchoLink training,Purchase a license to use the EchoLink software,Register your call sign and provide proof of license,At least a General Class license,,C
T8C11,0,What is an amateur radio station that connects other amateur stations to the internet?,,A gateway,A repeater,A digipeater,A beacon,,A
T8D01,3,Which of the following is a digital communications mode?,,Packet radio,IEEE 802.11,FT8,All these choices are correct,,D
T8D02,1,What is FT8?,,A wideband FM voice mode,A digital mode capable of low signal-to-noise operation,An eight-channel multiplex mode for FM repeaters,A digital slow-scan TV mode with forward error correction and automatic color compensation,,B
T8D03,3,What kind of data can be transmitted by APRS?,,GPS position data,Text messages,Weather data,All these choices are correct,,D
T8D04,2,"What is meant by the term ""NTSC?""",,A digital transmission standard for encrypting data,A special mode for satellite uplink,An analog fast-scan color TV signal,A frame compression scheme for TV signals,,C
T8D05,0,Which of the following is an application of APRS?,,Providing real-time tactical digital communications in conjunction with a map showing the locations of stations,Automatically showing the number of packets transmitted via PACTOR during a specific time interval,Providing voice over internet connection between repeaters,Providing information on the number of stations signed into a repeater,,A
T8D06,1,"What does the abbreviation ""PSK"" mean?",,Pulse Shift Keying,Phase Shift Keying,Packet Sampled Keying,Power Sampled Keying,,B
T8D07,0,Which of the following describes DMR?,,A technique for time-multiplexing two digital voice signals on a single 12.5 kHz repeater channel,An automatic position tracking mode for FM mobiles communicating through repeaters,An automatic computer logging technique for hands-off logging when communicating while operating a vehicle,A digital technique for transmitting on two repeater inputs simultaneously for automatic error correction,,A
T8D08,3,Which of the following is included in packet radio transmissions?,,A checksum that permits error detection,A header that contains the call sign of the station to which the information is being sent,Automatic repeat request in case of error,All these choices are correct,,D
T8D09,3,What is CW?,,A type of electromagnetic propagation,A digital mode used primarily on 2-meter FM,Error correction for digital transmission using code words,Another name for a Morse code transmission,,D
T8D10,3,Which of the following operating activities is supported by digital mode software in the WSJT-X software suite?,,Earth-Moon-Earth,Weak signal propagation beacons,Meteor scatter,All these choices are correct,,D
T8D11,2,What is the role of ARQ in a transmission system?,,A special transmission format limited to video signals,A system used to encrypt command signals to an amateur radio satellite,An error correction method in which the receiving station detects errors and sends a request for retransmission,A method of compressing data using autonomous reiterative Q codes prior to final encoding,,C
T8D12,0,Which of the following best describes an amateur radio mesh network?,,An amateur-radio data network using commercial Wi-Fi equipment with modified firmware,A wide-bandwidth digital voice mode employing DMR protocols,An amateur-radio satellite communications network using modified commercial satellite TV hardware,An internet linking protocol allowing communication through repeaters around the world,,A
T9A01,2,What is a beam antenna?,,An antenna built from square aluminum beams,An omnidirectional antenna invented by Clarence Beam,An antenna that concentrates signals in one direction,An antenna that focuses the signal into two intense rays,,C
T9A02,0,Which of the following describes a type of antenna loading?,,Electrically lengthening by inserting inductors in radiating elements,Inserting a resistor in the radiating portion of the antenna to make it resonant,Installing a spring in the base of a mobile vertical antenna to make it more flexible,Strengthening the radiating elements of a beam antenna to better resist wind damage,,A
T9A03,1,How is the polarization of an antenna described?,,By the shape of the driven element,By the orientation of the electric field,By the orientation of the magnetic field,By the direction of radiation,,B
T9A04,0,What is a disadvantage of a handheld radio transceiver’s short flexible antenna compared to a full-sized quarter-wave antenna?,,It has low efficiency,It transmits only circularly polarized signals,It is more susceptible to receiver desensitization,"It only works on analog signals, not digital ones",,A
T9A05,2,Which of the following increases the resonant frequency of a dipole antenna?,,Lengthening it,Inserting coils in series with radiating wires,Shortening it,Adding capacitive loading to the ends of the radiating wires,,C
T9A06,3,Which of the following types of antennas offers the greatest gain?,,5/8 wave vertical,Isotropic,J pole,Yagi,,D
T9A07,0,What is a potential drawback of using a handheld VHF transceiver inside a vehicle that lacks an externally mounted antenna?,,Signal strength is reduced due to the shielding effect of the vehicle,"The bandwidth of the antenna will decrease, increasing SWR","The SWR might decrease, decreasing the signal strength",The handheld will overheat due to reflected power in the vehicle,,A
T9A08,2,Why is a 19-inch-long vertical antenna often used on 2 meters?,,It has high gain,It is a resonant half-wave,It is a resonant quarter-wave,It has low RF radiation exposure,,C
T9A09,0,What is an advantage of a 5/8-wavelength whip antenna for VHF or UHF mobile service compared to a 1/4-wave antenna?,,It has more gain,It radiates at a higher angle,It has lower SWR,It has lower impedance,,A
T9A10,3,In which direction does a half-wave dipole antenna radiate the strongest signal?,,Equally in all directions,Off the ends of the antenna,In the direction of the feed line,Broadside to the antenna,,D
T9A11,2,What is antenna gain?,,The additional power that is added to the transmitter power,The additional power that is required in the antenna when transmitting on a higher frequency,The increase in signal strength in a specified direction compared to a reference antenna,The increase in impedance on receive or transmit compared to a reference antenna,,C
T9B01,3,Which of the following connectors should be carefully taped for weather protection when used outdoors?,,PL259,BNC,Type N,All these choices are correct,,D
T9B02,1,What is the most common impedance of coaxial cables used in amateur radio?,,8 ohms,50 ohms,600 ohms,12 ohms,,B
T9B03,0,Why is coaxial cable the most common feed line for amateur radio antenna systems?,,It is easy to use and requires few special installation considerations,It has less loss than any other type of feed line,It can handle more power than any other type of feed line,It is less expensive than any other type of feed line,,A
T9B04,0,What is the major function of an antenna tuner (antenna coupler)?,,It matches the antenna system impedance to the transceiver's output impedance,It helps a receiver automatically tune in weak stations,It allows an antenna to be used on both transmit and receive,It automatically selects the proper antenna for the frequency band being used,,A
T9B05,3,What happens as the frequency of a signal in coaxial cable is increased?,,The characteristic impedance decreases,The loss decreases,The characteristic impedance increases,The loss increases,,D
T9B06,1,Which of the following connector types is most suitable as an RF connector for frequencies above 400 MHz?,,PL-259,Type N,RS-213,DB-25,,B
T9B07,2,Which of the following is true of PL-259 type coax connectors?,,They are preferred for microwave operation,They are watertight,They are commonly used at HF and VHF frequencies,They are a bayonet-type connector,,C
T9B08,3,Which of the following is a source of loss in coaxial feed line?,,Water intrusion into coaxial connectors,High SWR,Multiple connectors in the line,All these choices are correct,,D
T9B09,1,What can cause erratic changes in SWR?,,Local thunderstorm,Loose connection in the antenna or feed line,Over-modulation,Overload from a strong local station,,B
T9B10,2,What is the electrical difference between RG-58 and RG-213 coaxial cable?,,There is no significant difference between the two types,RG-58 cable has two shields,RG-213 cable has less loss at a given frequency,RG-58 cable can handle higher power levels,,C
T9B11,2,Which of the following types of feed line has the lowest loss?,,50-ohm flexible coax,Multi-conductor unbalanced cable,Air-insulated hardline,75-ohm flexible coax,,C
T9B12,0,What is standing wave ratio (SWR)?,,A measure of how well a load is matched to a transmission line,The ratio of amplifier power output to input,The transmitter efficiency ratio,An indication of the quality of your station’s ground connection,,A
T0A01,1,Which of the following is a safety hazard of a 12-volt storage battery that lacks internal protection circuitry?,,Touching both terminals with your hands can cause electrical shock,"Shorting the terminals can cause burns, fire, or an explosion",RF emissions from a nearby transmitter can cause the electrolyte to emit poison gas,All these choices are correct,,B
T0A02,3,What health hazard is posed by electrical current flowing through the body?,,It may cause injury by heating body tissue,It may disrupt the electrical functions of cells,It may cause involuntary muscle contractions,All these choices are correct,,D
T0A03,1,"In the United States, what circuit does black wire insulation indicate in a three-wire 120 V AC cable?",,Neutral,Hot,Equipment ground,Negative,,B
T0A04,1,What is the purpose of a fuse in an electrical circuit?,,To prevent power supply ripple from damaging a component,To remove power in case of an overload,To limit current and prevent shocks,All these choices are correct,,B
T0A05,2,Why should a 5-ampere fuse never be replaced with a 20-ampere fuse?,,The larger fuse would be likely to blow because it is rated for higher current,The power supply ripple would greatly increase,Excessive current could cause a fire,Voltage drop in the higher current fuse could result in excessively low voltage to the device,,C
T0A06,3,What is a good way to guard against electrical shock at your station?,,Use three-wire cords and plugs for all AC powered equipment,Connect all AC powered station equipment to a common safety ground,Ensure all capacitors used for high-voltage DC are fully discharged before working inside equipment,All these choices are correct,,D
T0A07,3,Where should a lightning arrester be installed in a coaxial feed line?,,At the output connector of a transceiver,At the antenna feed point,At the AC power service panel,On a grounded panel near where feed lines enter the building,,D
T0A08,0,Where should a fuse or circuit breaker be installed in a 120V AC power circuit?,,In series with the hot conductor only,In series with the hot and neutral conductors,In parallel with the hot conductor only,In parallel with the hot and neutral conductors,,A
T0A09,2,What should be done to all external ground rods or earth connections?,,Waterproof them with silicone caulk or electrical tape,Keep them as far apart as possible,Bond them together with heavy wire or conductive strap,Tune them for resonance on the lowest frequency of operation,,C
T0A10,0,What hazard exists when rapidly charging or discharging an unprotected battery?,,Overheating or out-gassing,Excess output ripple,Electric shock,Overvoltage,,A
T0A11,3,What hazard exists in a power supply immediately after turning it off?,,Circulating currents in the dc filter,Leakage flux in the power transformer,Voltage transients from kickback diodes,Charge stored in filter capacitors,,D
T0A12,1,Which of the following precautions should be taken when measuring high voltages with a voltmeter?,,Ensure that the voltmeter has very low impedance,Ensure that the voltmeter and its leads are rated for use at the voltages being measured,Ensure that the circuit is grounded through the voltmeter,Ensure that the voltmeter is set to the correct frequency,,B
T0B01,2,Which of the following is good practice when installing ground wires on a tower for lightning protection?,,Put a drip loop in the ground connection to prevent water damage to the ground system,Make sure all ground wire bends are right angles,Ensure that connections are short and direct,All these choices are correct,,C
T0B02,3,What is required when climbing an antenna tower?,,Have sufficient training on safe tower climbing techniques,Use appropriate tie-off to the tower at all times,Always wear an approved climbing harness,All these choices are correct,,D
T0B03,3,Under what circumstances is it safe to climb a tower without a helper or observer?,,When no electrical work is being performed,When no mechanical work is being performed,When the work being done is not more than 20 feet above the ground,Never,,D
T0B04,2,Which of the following is an important safety precaution to observe when putting up an antenna tower?,,Wear a ground strap connected to your wrist at all times,Insulate the base of the tower to avoid lightning strikes,Look for and stay clear of any overhead electrical wires,All these choices are correct,,C
T0B05,1,What is the purpose of a safety wire through a turnbuckle used to tension guy lines?,,Secure the guy line if the turnbuckle breaks,Prevent loosening of the turnbuckle from vibration,Provide a ground path for lightning strikes,Provide an ability to measure for proper tensioning,,B
T0B06,3,What is the minimum safe distance from a power line to allow when installing an antenna?,,Add the height of the antenna to the height of the power line and multiply by a factor of 1.5,The height of the power line above ground,1/2 wavelength at the operating frequency,"Enough so that if the antenna falls, no part of it can come within 10 feet of the power wires",,D
T0B07,2,Which of the following is an important safety rule to remember when using a crank-up tower?,,This type of tower must never be painted,This type of tower must never be grounded,"This type of tower must not be climbed unless it is retracted, or mechanical safety locking devices have been installed",All these choices are correct,,C
T0B08,3,Which is a proper grounding method for a tower?,,"A single four-foot ground rod, driven into the ground no more than 12 inches from the base",A ferrite-core RF choke connected between the tower and ground,A connection between the tower base and a cold-water pipe,"Separate eight-foot ground rods for each tower leg, bonded to the tower and each other",,D
T0B09,2,Why should you avoid attaching an antenna to a utility pole?,,The antenna will not work properly because of induced voltages,"The antenna may unbalance the power transformer, causing power fluctuations",The antenna could contact high-voltage power lines,All these choices are correct,,C
T0B10,2,Which of the following is true when installing grounding conductors used for lightning protection?,,Use only non-insulated wire,Wires must be carefully routed with precise right-angle bends,Sharp bends must be avoided,Common grounds must be avoided,,C
T0B11,1,Which of the following establishes grounding requirements for an amateur radio tower or antenna?,,FCC Part 97 rules,Local electrical codes,FAA tower lighting regulations,UL recommended practices,,B
T0C01,3,What type of radiation are radio signals?,,Gamma radiation,Ionizing radiation,Alpha radiation,Non-ionizing radiation,,D
T0C02,1,Which of the following bands has the lowest maximum permissible exposure for RF safety?,,3.5 MHz,50 MHz,440 MHz,1296 MHz,,B
T0C03,2,How does the allowable power density for RF safety change if duty cycle changes from 100 percent to 50 percent?,,It increases by a factor of 3,It decreases by 50 percent,It increases by a factor of 2,There is no adjustment allowed for lower duty cycle,,C
T0C04,3,What factors affect the RF exposure of people near an amateur station antenna?,,Frequency and power level of the RF field,Distance from the antenna to a person,Radiation pattern of the antenna,All these choices are correct,,D
T0C05,3,Why do exposure limits vary with frequency?,,Lower frequency RF fields have more energy than higher frequency fields,Lower frequency RF fields do not penetrate the human body,Higher frequency RF fields are transient in nature,The human body absorbs more RF energy at some frequencies than at others,,D
T0C06,3,Which of the following is an acceptable method to determine whether your station complies with FCC RF exposure regulations?,,By calculation based on FCC OET Bulletin 65,By calculation based on computer modeling,By measurement of field strength using calibrated equipment,All these choices are correct,,D
T0C07,1,What hazard is created by touching an antenna during a transmission?,,Electrocution,RF burn to skin,Exposure to ionizing radiation,All these choices are correct,,B
T0C08,0,Which of the following actions can reduce exposure to RF radiation?,,Relocate antennas,Relocate the transmitter,Increase the duty cycle,All these choices are correct,,A
T0C09,1,How can you make sure your station stays in compliance with RF safety regulations?,,By informing the FCC of any changes made in your station,By re-evaluating the station whenever an item in the transmitter or antenna system is changed,By making sure your antennas have low SWR,By using only Underwriter Laboratories approved transmitting equipment,,B
T0C10,0,Why is duty cycle one of the factors used to determine safe RF radiation exposure levels?,,It affects the average exposure to radiation,It affects the peak exposure to radiation,It takes into account the antenna feed line loss,It takes into account the thermal effects of the final amplifier,,A
T0C11,2,What is the definition of duty cycle during the averaging time for RF exposure?,,The difference between the lowest and highest power output of a transmitter,The difference between the PEP and the average power output of a transmitter,The percentage of time that a transmitter is transmitting,The percentage of time that a transmitter is not transmitting,,C
T0C12,0,How does RF radiation differ from ionizing radiation (radioactivity)?,,RF radiation does not have sufficient energy to cause chemical changes in cells and damage DNA,RF radiation can only be detected with an RF dosimeter,RF radiation is limited in range to a few feet,RF radiation is perfectly safe,,A
T0C13,1,Who is responsible for ensuring that no person is exposed to RF energy above the FCC exposure limits?,,The FCC,The station licensee,Anyone who is near an antenna,The local zoning board,,B
